datetime,count,year,month,day,hour,weekday,is_weekend,is_working_hour,season,is_holiday
2011-01-20 00:00:00,51,2011,1,20,0,3,0,0,4,0
2011-01-20 01:00:00,58,2011,1,20,1,3,0,0,4,1
2011-01-20 02:00:00,72,2011,1,20,2,3,0,0,4,0
2011-01-20 03:00:00,79,2011,1,20,3,3,0,0,4,0
2011-01-20 04:00:00,91,2011,1,20,4,3,0,0,4,0
2011-01-20 05:00:00,104,2011,1,20,5,3,0,0,4,0
2011-01-20 06:00:00,107,2011,1,20,6,3,0,0,4,0
2011-01-20 07:00:00,121,2011,1,20,7,3,0,0,4,0
2011-01-20 08:00:00,132,2011,1,20,8,3,0,0,4,0
2011-01-20 09:00:00,154,2011,1,20,9,3,0,1,4,0
2011-01-20 10:00:00,163,2011,1,20,10,3,0,1,4,0
2011-01-20 11:00:00,177,2011,1,20,11,3,0,1,4,1
2011-01-20 12:00:00,187,2011,1,20,12,3,0,1,4,0
2011-01-20 13:00:00,192,2011,1,20,13,3,0,1,4,0
2011-01-20 14:00:00,205,2011,1,20,14,3,0,1,4,0
2011-01-20 15:00:00,214,2011,1,20,15,3,0,1,4,0
2011-01-20 16:00:00,221,2011,1,20,16,3,0,1,4,0
2011-01-20 17:00:00,237,2011,1,20,17,3,0,1,4,0
2011-01-20 18:00:00,245,2011,1,20,18,3,0,1,4,0
2011-01-20 19:00:00,236,2011,1,20,19,3,0,0,4,0
2011-01-20 20:00:00,249,2011,1,20,20,3,0,0,4,0
2011-01-20 21:00:00,255,2011,1,20,21,3,0,0,4,0
2011-01-20 22:00:00,274,2011,1,20,22,3,0,0,4,0
2011-01-20 23:00:00,280,2011,1,20,23,3,0,0,4,0
2011-01-21 00:00:00,53,2011,1,21,0,4,0,0,4,0
2011-01-21 01:00:00,55,2011,1,21,1,4,0,0,4,0
2011-01-21 02:00:00,74,2011,1,21,2,4,0,0,4,0
2011-01-21 03:00:00,77,2011,1,21,3,4,0,0,4,0
2011-01-21 04:00:00,91,2011,1,21,4,4,0,0,4,0
2011-01-21 05:00:00,98,2011,1,21,5,4,0,0,4,0
2011-01-21 06:00:00,113,2011,1,21,6,4,0,0,4,0
2011-01-21 07:00:00,117,2011,1,21,7,4,0,0,4,0
2011-01-21 08:00:00,129,2011,1,21,8,4,0,0,4,0
2011-01-21 09:00:00,152,2011,1,21,9,4,0,1,4,1
2011-01-21 10:00:00,166,2011,1,21,10,4,0,1,4,1
2011-01-21 11:00:00,174,2011,1,21,11,4,0,1,4,0
2011-01-21 12:00:00,188,2011,1,21,12,4,0,1,4,0
2011-01-21 13:00:00,196,2011,1,21,13,4,0,1,4,0
2011-01-21 14:00:00,201,2011,1,21,14,4,0,1,4,0
2011-01-21 15:00:00,213,2011,1,21,15,4,0,1,4,0
2011-01-21 16:00:00,228,2011,1,21,16,4,0,1,4,0
2011-01-21 17:00:00,231,2011,1,21,17,4,0,1,4,0
2011-01-21 18:00:00,249,2011,1,21,18,4,0,1,4,0
2011-01-21 19:00:00,243,2011,1,21,19,4,0,0,4,1
2011-01-21 20:00:00,254,2011,1,21,20,4,0,0,4,0
2011-01-21 21:00:00,259,2011,1,21,21,4,0,0,4,0
2011-01-21 22:00:00,266,2011,1,21,22,4,0,0,4,0
2011-01-21 23:00:00,278,2011,1,21,23,4,0,0,4,0
2011-01-22 00:00:00,71,2011,1,22,0,5,1,0,4,0
2011-01-22 01:00:00,82,2011,1,22,1,5,1,0,4,0
2011-01-22 02:00:00,87,2011,1,22,2,5,1,0,4,1
2011-01-22 03:00:00,95,2011,1,22,3,5,1,0,4,0
2011-01-22 04:00:00,108,2011,1,22,4,5,1,0,4,1
2011-01-22 06:00:00,126,2011,1,22,6,5,1,0,4,0
2011-01-22 07:00:00,142,2011,1,22,7,5,1,0,4,0
2011-01-22 08:00:00,148,2011,1,22,8,5,1,0,4,1
2011-01-22 09:00:00,171,2011,1,22,9,5,1,1,4,0
2011-01-22 10:00:00,185,2011,1,22,10,5,1,1,4,0
2011-01-22 11:00:00,195,2011,1,22,11,5,1,1,4,0
2011-01-22 12:00:00,209,2011,1,22,12,5,1,1,4,0
2011-01-22 13:00:00,213,2011,1,22,13,5,1,1,4,0
2011-01-22 14:00:00,225,2011,1,22,14,5,1,1,4,0
2011-01-22 15:00:00,231,2011,1,22,15,5,1,1,4,0
2011-01-22 16:00:00,249,2011,1,22,16,5,1,1,4,0
2011-01-22 17:00:00,251,2011,1,22,17,5,1,1,4,0
2011-01-22 18:00:00,269,2011,1,22,18,5,1,1,4,0
2011-01-22 19:00:00,258,2011,1,22,19,5,1,0,4,0
2011-01-22 20:00:00,272,2011,1,22,20,5,1,0,4,0
2011-01-22 21:00:00,281,2011,1,22,21,5,1,0,4,0
2011-01-22 22:00:00,293,2011,1,22,22,5,1,0,4,1
2011-01-22 23:00:00,302,2011,1,22,23,5,1,0,4,0
2011-01-23 00:00:00,69,2011,1,23,0,6,1,0,4,0
2011-01-23 01:00:00,76,2011,1,23,1,6,1,0,4,0
2011-01-23 02:00:00,89,2011,1,23,2,6,1,0,4,0
2011-01-23 03:00:00,102,2011,1,23,3,6,1,0,4,0
2011-01-23 05:00:00,124,2011,1,23,5,6,1,0,4,0
2011-01-23 06:00:00,133,2011,1,23,6,6,1,0,4,0
2011-01-23 07:00:00,143,2011,1,23,7,6,1,0,4,0
2011-01-23 08:00:00,145,2011,1,23,8,6,1,0,4,0
2011-01-23 09:00:00,178,2011,1,23,9,6,1,1,4,0
2011-01-23 10:00:00,186,2011,1,23,10,6,1,1,4,0
2011-01-23 11:00:00,198,2011,1,23,11,6,1,1,4,0
2011-01-23 12:00:00,207,2011,1,23,12,6,1,1,4,0
2011-01-23 13:00:00,210,2011,1,23,13,6,1,1,4,0
2011-01-23 14:00:00,227,2011,1,23,14,6,1,1,4,0
2011-01-23 15:00:00,237,2011,1,23,15,6,1,1,4,0
2011-01-23 16:00:00,242,2011,1,23,16,6,1,1,4,0
2011-01-23 17:00:00,250,2011,1,23,17,6,1,1,4,0
2011-01-23 18:00:00,267,2011,1,23,18,6,1,1,4,0
2011-01-23 19:00:00,257,2011,1,23,19,6,1,0,4,0
2011-01-23 20:00:00,267,2011,1,23,20,6,1,0,4,0
2011-01-23 21:00:00,275,2011,1,23,21,6,1,0,4,0
2011-01-23 22:00:00,289,2011,1,23,22,6,1,0,4,0
2011-01-23 23:00:00,304,2011,1,23,23,6,1,0,4,0
2011-01-24 00:00:00,51,2011,1,24,0,0,0,0,4,0
2011-01-24 01:00:00,64,2011,1,24,1,0,0,0,4,0
2011-01-24 03:00:00,83,2011,1,24,3,0,0,0,4,0
2011-01-24 04:00:00,91,2011,1,24,4,0,0,0,4,0
2011-01-24 05:00:00,103,2011,1,24,5,0,0,0,4,0
2011-01-24 06:00:00,112,2011,1,24,6,0,0,0,4,0
2011-01-24 07:00:00,116,2011,1,24,7,0,0,0,4,0
2011-01-24 08:00:00,125,2011,1,24,8,0,0,0,4,0
2011-01-24 09:00:00,156,2011,1,24,9,0,0,1,4,0
2011-01-24 10:00:00,166,2011,1,24,10,0,0,1,4,0
2011-01-24 11:00:00,177,2011,1,24,11,0,0,1,4,1
2011-01-24 12:00:00,184,2011,1,24,12,0,0,1,4,0
2011-01-24 13:00:00,192,2011,1,24,13,0,0,1,4,0
2011-01-24 14:00:00,207,2011,1,24,14,0,0,1,4,0
2011-01-24 15:00:00,215,2011,1,24,15,0,0,1,4,0
2011-01-24 16:00:00,222,2011,1,24,16,0,0,1,4,0
2011-01-24 17:00:00,230,2011,1,24,17,0,0,1,4,0
